date,order_id,symbol,side,qty,status,reason,filled_qty,remaining_qty,fill_price
2026-02-20,ORD00000055,SPY,buy,240.206257,filled,randomized_matching_sim,240.206257,0.0,101.0298280879288
2026-02-23,ORD00000057,UUP,sell,126.70177299999999,sent,,,,
2026-02-23,ORD00000058,SPY,buy,298.41621,sent,,,,
2026-02-23,ORD00000059,TLT,buy,221.66356499999998,rejected,insufficient_cash,,,
2026-02-23,ORD00000057,UUP,sell,126.70177299999999,filled,randomized_matching_sim,126.70177299999999,0.0,100.16656515163794
2026-02-23,ORD00000058,SPY,buy,298.41621,filled,randomized_matching_sim,298.41621,0.0,99.99287864020525
2026-02-24,ORD00000060,SPY,sell,28.891633,sent,,,,
2026-02-24,ORD00000061,GLD,buy,16.604216,sent,,,,
2026-02-24,ORD00000062,UUP,buy,236.905957,rejected,insufficient_cash,,,
2026-02-24,ORD00000060,SPY,sell,28.891633,partial,randomized_matching_sim,9.083002016738096,19.808630983261903,100.67677081268971
2026-02-24,ORD00000061,GLD,buy,16.604216,filled,randomized_matching_sim,16.604216,0.0,117.94161488735422
2026-02-25,ORD00000063,SPY,sell,529.539465,sent,,,,
2026-02-25,ORD00000064,GLD,buy,48.915982,sent,,,,
2026-02-25,ORD00000065,UUP,buy,696.703572,rejected,insufficient_cash,,,
2026-02-25,ORD00000063,SPY,sell,529.539465,cancelled,randomized_matching_sim,0.0,0.0,101.52274482106462
2026-02-25,ORD00000064,GLD,buy,48.915982,filled,randomized_matching_sim,48.915982,0.0,117.64553290903095
2026-02-26,ORD00000066,GLD,sell,31.608477999999998,sent,,,,
2026-02-26,ORD00000067,SPY,sell,529.539465,sent,,,,
2026-02-26,ORD00000068,TLT,buy,625.144248,sent,,,,
2026-02-26,ORD00000069,UUP,buy,84.97055999999999,rejected,insufficient_cash,,,
2026-02-26,ORD00000066,GLD,sell,31.608477999999998,filled,randomized_matching_sim,31.608477999999998,0.0,118.60269595601413
2026-02-26,ORD00000067,SPY,sell,529.539465,filled,randomized_matching_sim,529.539465,0.0,100.9572744746499
2026-02-26,ORD00000068,TLT,buy,625.144248,partial,randomized_matching_sim,464.6071664061505,160.53708159384945,103.52872062206681
2026-02-27,ORD00000070,GLD,sell,21.02158,sent,,,,
2026-02-27,ORD00000071,TLT,buy,169.93886,sent,,,,
2026-02-27,ORD00000072,UUP,buy,99.263842,rejected,insufficient_cash,,,
2026-02-27,ORD00000070,GLD,sell,21.02158,filled,randomized_matching_sim,21.02158,0.0,120.14998044951192
2026-02-27,ORD00000071,TLT,buy,169.93886,filled,randomized_matching_sim,169.93886,0.0,104.15759207559302
2026-03-02,ORD00000073,TLT,sell,634.546027,sent,,,,
2026-03-02,ORD00000074,GLD,buy,3.799975,sent,,,,
2026-03-02,ORD00000075,SPY,buy,334.92983799999996,sent,,,,
2026-03-02,ORD00000076,UUP,buy,378.093353,sent,,,,
2026-03-02,ORD00000077,XLE,buy,23.601260999999997,sent,,,,
2026-03-02,ORD00000073,TLT,sell,634.546027,filled,randomized_matching_sim,634.546027,0.0,103.06511521099563
2026-03-02,ORD00000074,GLD,buy,3.799975,filled,randomized_matching_sim,3.799975,0.0,121.74105002223583
2026-03-02,ORD00000075,SPY,buy,334.92983799999996,filled,randomized_matching_sim,334.92983799999996,0.0,100.56863841690506
2026-03-02,ORD00000076,UUP,buy,378.093353,cancelled,randomized_matching_sim,0.0,0.0,101.09001906898881
2026-03-02,ORD00000077,XLE,buy,23.601260999999997,partial,randomized_matching_sim,9.919008556956236,13.682252443043762,127.00058208998952
